[0:14:10] n4shvill3: 木積んだトラックとか前にいると怖い
[0:14:10] ぷーくま: マジで負けたらサイラスとヨネ出して終わろう
[0:14:11] インセクター羽賀研二: MF切り刻もう
[0:14:11] のわるーじゅ: 最後はヨネユーミや
[0:14:11] ANATAMori: ユーミ乗せてなw
[0:14:12] るりいろ3: うるかコーチに聞きながらね
[0:14:12] maka99990: タリックヨネきたか
[0:14:14] 7jskoa: サモリフの柱になれ
[0:14:16] imu16: ラムスADCどうですか？
[0:14:16] rikakei: エズ、MF、ヨネ
[0:14:17] bonjiri7: ヨネADCはギリ合法？
[0:14:19] ぷーくま: うおおおおおおお
[0:14:20] ぐりんてぃー89: なんのためにBOT送ったと思ってん！って怒られそうｗ
[0:14:21] kasukabeharu: ADCが限界バトルで上手い方が勝つメタだとむずいなって思うわ
[0:14:24] Gteruhisa: サイラス、ヨネ、エズ
[0:14:25] manaby_t: 優勝予想
[0:14:25] maplesyrupm: おぼさんは何のチャンプ使う予定なの
[0:14:26] AtNezzz: アタックムーブ覚えればadcは劇的に変わる
[0:14:27] youjoa: おいすおいす
[0:14:27] twitch_kfcsan: ここたまらん
[0:14:29] ぷーくま: 強くねぇ？
[0:14:29] mizunomitaro: イブが背負う
[0:14:30] ヒヤヤッコォ: つよそうよなおっぼのとこ
[0:14:32] sakuyaz4: イブが背負う構成
[0:14:32] masayatown1104: イブの胃に穴が開きます
[0:14:32] 中ととろ: ラヒムさんが保護枠のやつね
[0:14:33] takosu_1: イブ、頼んだ
[0:14:33] chacomochipan04: アルス、ティーもサポきます
[0:14:36] ニボシ: そこでもカルビが昨日暴れてた
[0:14:37] bbkusoneko: かせんさん自身も強いって言ってた
[0:14:38] kirikiri_0802: イブがキャリーしなきゃ勝てないチーム
[0:14:39] konpeitoyade: でもmid supが
[0:14:39] maka99990: イブ強いぞサポカルビやけど
[0:14:40] ぷーくま: おい！midやらせろ！
[0:14:41] bonjiri7: らぷ、いぶ、かるびw
[0:14:41] kasukabeharu: 彼には呪いがあるから・・・
[0:14:41] ぴえた: w
[0:14:41] ojalmal: ありけんらぷらすかるび結構重くね？ｗ
[0:14:42] imu16: つのがきとかるびいるからｗ
[0:14:42] オジリーグ: そこはいろいろ大変そう
[0:14:42] ESL_OR4NNGE: でもかるびの隣だいぶ大変そうだったｗ
[0:14:42] toshikiiii: え
[0:14:43] インセクター羽賀研二: ADC１ｓｔピックやろ
[0:14:44] なゆら: ｗｗ
[0:14:44] bitou0: 昨日イブラヒムがかるびに絶望してた
[0:14:44] yamada_gg: イブが大分強いか
[0:14:44] ayataka105: ｗｗｗ
[0:14:45] piyo_gg: イブの胃が引きちぎれる
[0:14:45] ぴえた: いいよね
[0:14:45] dorujichan: キッザニア
[0:14:45] chacomochipan04: カルビの下手さでカバーしてるらしいw
[0:14:46] mizunomitaro: www
[0:14:46] tororo9090: サイラスタリックでレーンぼこさない？
[0:14:47] ぷーくま: wwwwww
[0:14:47] nbcccx: イブラヒムのopgg 見てみてkda やばいよ
[0:14:48] ひるるく: イブラヒムは呪いあるから...
[0:14:48] ksn0127: いーや3人初心者きついど
[0:14:49] bbkusoneko: かるびめっちゃフック当てるのうまかったよ
[0:14:50] ヒヤヤッコォ: いわないであげてよ
[0:14:51] アエマ: まじで下手
[0:14:51] デブガキ: このチームとやる時はトップゲームだな
[0:14:52] じぇーざ: いくじょ～
[0:14:55] mizunomitaro: 詰めるじょ〜
[0:14:55] kmgraph: すごいよ
[0:14:56] maplesyrupm: ？？？「イブラヒムの圧倒的なパワーを止めるのはカルビしかいない」
[0:14:57] pipipipiv: 昨日すごかった
[0:14:57] krt_09: カスタム見た感じかるびがイブを絶望させてた
[0:14:57] ren1090: くらっちさんってメインJGじゃなかったっけ?
[0:14:57] syotowa0414: オーバーパワーや
[0:14:58] neron__234: カルビがイブをどれだけ抑えられるか
[0:14:58] imu16: かるび操作は結構うまいんよなｗ
[0:14:58] exclbrse: おい！うるかチームこの時間から3人もLOL配信してるぞ！
[0:14:58] ojalmal: かるび×LoL = ∞
[0:14:59] maka99990: 実際かるびそこそこうまい
[0:14:59] YuumiTheMagicaICat: いぶさんとありけん逆でいいと思うのになあ
[0:15:00] おがちゃん: おぼさんはサミーラとかニーラが合いそう
[0:15:00] raru_004: 絶対Q当てるモルガナ
[0:15:00] ぷーくま: 間違いない
[0:15:02] なゆら: そうだね
[0:15:02] kirikiri_0802: ほんとそれ
[0:15:02] S1lvii4: でも背負ってるからな
[0:15:03] sakuyaz4: キッザニアDUOをどうにか支えなきゃ行けない
