[2:38:27] ゲルトルート: T^T
[2:40:28] yu_8686: ないすぅ
[2:40:32] shin_1930: きもてぃー
[2:40:40] ghalnaag: ないすぅ
[2:42:23] cet0s: ウィッツはcc耐性ついたのと足も早くなる
[2:42:58] gunmamk2: セトだとEだけ？
[2:44:32] ゆーえぬ0: 1-4交換なんでヨシ！
[2:44:40] leon_10_09: スゴいスゴい🎵
[2:44:42] ghalnaag: 美味しい
[2:45:07] ゆーえぬ0: でけー
[2:45:36] ゆーえぬ0: まっずい
[2:45:39] m1y4by: 正直あんまり効果感じないw
[2:45:51] ゆーえぬ0: 一旦ワース
[2:46:06] ghalnaag: バロンマジでつええ
[2:47:00] cet0s: ステラック
[2:47:23] shin_1930: 杉田智和の声かっこいいな…
[2:48:19] ghalnaag: 草
[2:49:10] はちべぇ_: IE
[2:49:20] m1y4by: ｉｅ
[2:49:41] にょる1113: インフィニティエッジが一番相性いい
[2:50:23] azalea0606: ガハハ
[2:50:34] ゆーえぬ0: 勝ったなガハハ！
[2:50:38] tomo9999q: 歯茎出していこう
[2:50:43] ようすい: 😁😁😁
[2:50:57] shin_1930: ないすー
[2:50:58] ghalnaag: gg
[2:50:59] yu_8686: ないすぅGG
[2:51:02] zucchini314: GG
[2:51:03] tomo9999q: ナイス！！gg
[2:51:04] ゆーえぬ0: gg
[2:51:07] himajin456: ないすーGG
[2:51:08] leon_10_09: ナイス〜GG🎵🎵
[2:51:11] o634: gg
[2:51:11] maccha_b7: ナイスGG
[2:51:13] 瓜うじ: gg!!
[2:51:16] Liru_e: GG
[2:51:18] twinheads1982: ﾅｲｽｩGG
[2:51:29] m1y4by: 集団戦の構成差で勝ちました
[2:51:41] financier29: wwww
[2:51:46] inf_todo: www
[2:51:47] yu_8686: www
[2:51:49] yukina_2525: ナイス
[2:53:28] gunmamk2: TPA。今は亡き優勝チームスキン・・・
[2:53:54] sagishi111: 要らん奴混ぜ混ぜするの楽しいよね
[2:54:51] 0110_ally_yasuo: WutFace WutFace WutFace
[2:55:00] zucchini314: 課、金
[2:55:10] ごはん怪獣: 龍術師あと15個開けるぞー
[2:55:11] himajin456: 自然な流れの課金
[2:55:12] whirling_cat: か、きん
[2:55:46] いんぱらです: APチャンプ全部強い
[2:55:51] d4nma_desu: k4senOMG
[2:55:55] ごはん怪獣: あっつ
[2:55:56] くろーずど: でも、セラフィーん今強いぞ
[2:56:02] ghalnaag: ええんやけどな…
