[0:15:27] as_desu: いや別に髪気にしてないよ
[0:15:28] ミりン: アフロのプライド
[0:15:32] yoooooowwwe: 昨日ちょっとぺたんこだった
[0:15:33] 呂布カルパス: そろそろアフロ掛け直さないと
[0:15:35] itijou_: モテようとしてる？
[0:15:37] cafelatte_12: 汚ねえもん見せたくねえよな
[0:15:39] 朕は沢田: アフロの乱れは心の乱れだぞたかき
[0:15:41] なっせー: アフロの抜け毛大丈夫？
[0:15:44] jamojibm: 顔が好き
[0:15:45] monakaxyz: もうずっとアフロなの？
[0:15:52] oooohfgfh: 坊主にしてよ🧑‍🦲
[0:15:57] kajokajoka: ww
[0:16:00] itijou_: w]
[0:16:01] hinakoooo_fn: 微妙な立ち位置だもんな
[0:16:02] むつっきー: wwww
[0:16:03] 朕は沢田: お、おう。
[0:16:04] つっきー3355: www
[0:16:05] 呂布カルパス: wwww
[0:16:07] yajiuma3: 次は選手で頑張るわ！でいいじゃん
[0:16:09] seven_goat2: 貢献度めっちゃ高いやん
[0:16:12] tominaga0331: 別にそれでいいじゃんね
[0:16:22] メルドン: けど高木が居なければ勝ててないぞ
[0:16:42] ミりン: つっよ
[0:16:49] tanakeeen: SA2輝いてるな
[0:17:05] ravel0270: わいわいさんコーチングで高木自身もなんか変わった？
[0:17:11] tyyytws: なんか伸びそうな上手くなり方してる
[0:17:13] tanakeeen: 美味いよ
[0:17:16] 朕は沢田: ええやん
[0:17:24] iytreszhii: なんか落ち着いてる
[0:17:24] 冴羽リョウ: 客観視できて上達したのか
[0:17:26] itijou_: 負け方知った？
[0:17:26] MYNK1981: 人に教えると自分も勉強になるよね
[0:17:27] empirenow57: シュートいつみてもどこかのコーチ手伝ってたな
[0:17:36] つつしみ: え!?
[0:17:37] cyclenn: まじか
[0:17:38] seven_goat2: すげえ
[0:17:38] ミりン: まじ？
[0:17:39] tominaga0331: 優しいｗ
[0:17:40] oooohfgfh: え！
[0:17:42] 冴羽リョウ: もうマブダチじゃん
[0:17:44] はりぷ: どこだったの
[0:17:44] popboy1111: すごっ
[0:17:45] yakiringodasu: メナ！？
[0:17:47] 呂布カルパス: まじかよ
[0:17:48] empirenow57: マブダチ？
[0:17:51] takuhome: フレンドだしなもう
[0:17:52] magical_ba77: lolじゃなくてスト6やんないか？
[0:18:01] aaunode: メナの弟子高木
[0:18:15] itijou_: まじ？
[0:18:17] 呂布カルパス: 友達じゃん
[0:18:18] itijou_: ww
[0:18:18] ゴンドリル: どこまで本当なの？
[0:18:20] つっきー3355: お前すげぇな
[0:18:22] magical_ba77: ミラーする？
[0:18:23] ajio_35: すっご
[0:18:30] つつしみ: スクショ見せてくれないか
[0:18:30] yakiringodasu: 妄想か？？
[0:18:30] ohotukukai: 和製メナさんこんにちわ
[0:18:31] tanakeeen: 正直羨ましすぎる
[0:18:32] ミりン: ないすー
[0:18:32] goumoukunx: うめえ！！
[0:18:35] sorasiro989: メナいい奴だな
[0:18:36] pandasan_power: 友達とのDMだからさすがに俺らが見る訳にはいかないか
[0:18:40] mahoutukaiakikunn: yo
[0:18:40] ナタデココさん: これは自慢できなー
[0:18:44] empirenow57: 1500地上へ
[0:18:46] kurobedam: みんな日本勢応援してる時にメナ応援配信するんか
[0:18:48] ai_masasi: 高木って免許もってる？
[0:18:49] yajiuma3: メナのコーチもしてやるか
[0:18:52] ナタデココさん: できるなー
[0:18:58] 3_yossy_3: よお
[0:19:07] ka141427: ウルフギャングも出るよ
[0:19:22] yakiringodasu: ハイタニ先生と見よう
[0:19:22] 呂布カルパス: まんじ昨日lolやってたけど勝てるんか
[0:19:27] tanakeeen: ぷっさん配信外で見る言うてなかったっけ？
[0:19:30] 306h: 画面消すけど秒数のところだけ写してた記憶
[0:19:39] ミりン: うめー
[0:19:40] aaabbb34: お前マジでうまなったな
[0:19:41] itijou_: うっまい
[0:19:42] goumoukunx: リーサルえらい
[0:19:42] たくみ0928: うまいね
[0:19:44] magical_ba77: ないす
[0:19:46] sorasiro989: リーサル完璧
[0:19:48] nowiejwssie: スト６きたー
[0:19:48] ゆりぴっぴ: うま
[0:19:49] ohotukukai: 高木さんなんか上手くなりましたか?
[0:19:54] cyclenn: しんじとぷっさんでなんかのミラーしてたよな
[0:19:54] popboy1111: クラシックでこれはすごいわ
[0:20:07] iytreszhii: お前副将レベルあるんでねえか
[0:20:07] hinakoooo_fn: うっま
[0:20:08] 3_yossy_3: 精度めっちゃいいな
[0:20:10] aaabbb34: もうモダンの頃よりつえーよ
[0:20:13] aaunode: エボでのハイタニVSメナ見た？
[0:20:14] lelelele4415: うまい
[0:20:16] kawacy0226: 動きのキレがすんごい
[0:20:16] 飯田3: よお
[0:20:17] tooo818: やっぱり教えると上手くなるな
[0:20:18] ka141427: なんかめちゃくちゃコマンド出るようになってる
[0:20:18] あいとん: 高木のスト６は見てておもれぇわ
[0:20:19] ぱん2: 高木って純正コントローラー？
[0:20:20] くもも784: 教えるってのはうまくなるからな自分も
[0:20:25] sorasiro989: 残るんじゃね
[0:20:26] ぶたぁー: え、最近プレイ見てなかったけどバカ上手くねw
[0:20:28] gjmdawn: 人に教えると自分も上手くなるのお得だな
[0:20:32] nowiejwssie: 多分ごちゃごちゃしてた考えがコーチングでめっちゃ整理された
[0:20:47] kawacy0226: まあまあゲージ有利有利
[0:20:56] ohotukukai: あとは経験積めばもう完璧よ
[0:21:25] pandasan_power: カプコンカップ去年は結構な人数がミラーしてたはず、申請とかいるのかは知らんけど
[0:21:26] aaunode: act2のモダンでのMRすぐ更新しそうだな
[0:21:36] くもも784: SA精度たかめるのは大事よな
[0:21:42] 3_yossy_3: 惜しすぎる
[0:21:54] oooohfgfh: ぱん！ぽん！しゅこーん！
[0:22:02] siguma1936: 指がなれるまでやねｗ
[0:22:08] fps_893: riddleにミラー許可とってもらおう
[0:22:13] 冴羽リョウ: ゆか兄もSAコマンドが苦手でモダンだからなぁ
[0:22:21] magical_ba77: カプコンカップまじで楽しみだな
[0:23:10] pandasan_power: いかない
[0:23:14] pipipipiv: ハイタニ先生は解説
[0:23:17] nowiejwssie: 最強の推し
[0:23:18] shin4567890: タツヤは解説のお仕事
[0:23:20] とろとろぴく: 高木コーチングのアーカイブ全部ようやく見終わったヨ、感動したヨォ
[0:23:21] 飯田3: メナ知り合いじゃないだろwww
[0:23:24] siguma1936: まんじLCQだっけ？
[0:23:27] ほしすたいる: 知り合い
[0:23:28] cyclenn: まんじ出るのは最終予選やな
[0:23:30] takuhome: lcqいつだっけ？
[0:23:43] kawacy0226: もう今週土曜早朝からや
