[0:19:41] 丸もちお雑煮: すぐキャラクター名でてこないんだけどどうすればいい？
[0:19:42] yagi_ais: へぇ
[0:19:46] ぴくしあ: デュエがいる方が本命みたいなね
[0:20:05] ヨッシー32: チャーチングですか？
[0:20:05] ばかぁぁ: 足音でキャラわかるようになりたい
[0:20:22] lapyyyyy: アウトローかうの笑う
[0:20:23] hirotakar: かみとさんってチェンバーどうなの？
[0:20:29] yagi_ais: おお
[0:20:36] ぴくしあ: 味方にヴァンダルあげてアウトローバイまじか
[0:20:36] awa_0913: akame buy!?
[0:20:36] yagi_ais: うっまｗｗｗ
[0:20:38] ニドネ: やーる
[0:20:39] まろにーー: つよｗ
[0:20:40] がっこ: うまーい
[0:20:40] 丸もちお雑煮: うっま
[0:20:40] 初動激戦区降り御免早漏: つよww
[0:20:40] faiba2525: うま
[0:20:41] dorade40: うまw
[0:20:41] greentea211: うーま
[0:20:42] lambgoatyagi: 波乗ってきた
[0:20:43] 리リンチャン: うまｗｗｗ
[0:20:43] _のり: えぐ
[0:20:44] ﾄｲ: うまあああああああ
[0:20:45] たもー: うまい
[0:20:49] SANJi_3_00: これがちwinnableじゃない？w
[0:21:04] daf_take_iu: SRはマジでえぐい
[0:21:05] yagi_ais: NAH, I'D WINくるかこれ
[0:21:08] 初動激戦区降り御免早漏: 甘えは自信の表れ
[0:21:09] triela_ff14: マップ隠しが怖い
[0:21:10] euphorp: エイムガチ猛者
[0:21:20] erf235: いつもTPの範囲にいないかみとくん
[0:21:25] ヨッシー32: ww
[0:21:28] ぴくしあ: ダニィ〜？！
[0:21:30] yagi_ais: おおおお
[0:21:37] SANJi_3_00: いけいけいけ
[0:21:39] lambgoatyagi: まじで動体視力いいね
[0:21:41] 初動激戦区降り御免早漏: つよいって
[0:21:44] 丸もちお雑煮: 音を立てろ！！
[0:21:46] たもー: えーすえーす
[0:21:57] yagi_ais: ｗｗｗｗｗｗｗｗｗｗ
[0:22:01] たもー: ｗｗｗｗｗｗ
[0:22:01] m4rfy_: ｗ
[0:22:02] きるあっしゅ: wwww
[0:22:03] ヨッシー32: www
[0:22:05] yagi_ais: やっばいｗｗｗｗ
[0:22:08] 初動激戦区降り御免早漏: www
[0:22:11] 丸もちお雑煮: ワン負け層で草
[0:22:13] SANJi_3_00: まずいぞw
[0:22:16] _のり: 一旦気まずいかw
[0:22:16] きるあっしゅ: 負けそうなんよ
[0:22:22] yagi_ais: 負け筋できちゃったｗ
[0:22:26] まろにーー: 相手を上げて自分を保つ高等テクきた
[0:22:27] ぴくしあ: 絶対にメイン
[0:22:44] yagi_ais: あなたはよくやった
[0:22:50] 初動激戦区降り御免早漏: 味方が悪いか
[0:22:51] 丸もちお雑煮: 見方が悪いよ味方が
[0:22:52] yagi_ais: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[0:22:54] lambgoatyagi: それはそうだな
[0:22:55] _のり: このあとコーチングか
[0:22:55] みりたこファン: あそこ走ったのそーヴぁ設置諦めて引くと思ったのカナ
[0:22:56] さまえるです: ｗｗｗ
[0:22:56] 0yki0: www
[0:22:58] いちみく: wwwwww
[0:22:59] SANJi_3_00: wwww
[0:23:00] greentea211: チェン嫌いだけどかみとさんのチェンは好き
[0:23:00] power_T3T: やさし
[0:23:00] getem3905: www
[0:23:01] たもー: ｗｗｗｗ
[0:23:01] relaym247: www
[0:23:04] kaito_1k: いやいや四人やってかみとさんのせいはないよw
[0:23:08] yagi_ais: クソメンタルコーチまじで好きｗｗ
[0:23:11] ヨッシー32: 思想濃いなーw
[0:23:18] power_T3T: LOLの時ぐらい言っちゃっていいのにな
[0:23:20] 初動激戦区降り御免早漏: www
[0:23:30] esaki12: 強気です！
[0:23:43] タコの足: 10くらい削っとけよ
[0:23:44] yagi_ais: ｗｗｗｗｗｗｗｗｗｗｗ
[0:23:47] yagi_ais: それはそうｗｗｗ
[0:23:48] uru0504: 素人がランクでオーメン使うのなんなんだろ
[0:23:50] ニドネ: www
[0:23:50] getem3905: wwww
[0:24:01] yagi_ais: ソヴァ前にいたのにｗｗ
[0:24:03] mtngart: レイズ警戒かなｗ
[0:24:05] ぴくしあ: @uru0504 味方のためじゃない？
[0:24:08] hedgehog_826: 遅延エグ
[0:24:22] yagi_ais: すばらしい
[0:24:28] _のり: えら
[0:24:32] 丸もちお雑煮: 偉い
[0:24:39] often_ten: 犬ほめる飼い主みたいw
[0:24:44] greentea211: ほんと上手い
[0:24:56] yagi_ais: クソメンタルコーチまだいます
[0:25:00] lapyyyyy: lolと同じか
[0:25:03] _のり: 敵ナイス精神だろ
[0:25:03] yossii46: 言ってることエグいw
[0:25:05] たもー: ｗｗｗｗ
[0:25:07] ぴくしあ: 他責思考推奨する人はじめてみた
[0:25:18] watamea: 後方腕組み彼女のあじゃさんですか？
[0:25:20] 初動激戦区降り御免早漏: オーメン ajak0nNaki ajak0nNaki
[0:25:21] nagityosu_: おい、お茶吹いたって
[0:25:32] たまにネギ: 燃えないために
[0:25:34] yagi_ais: アンラッキー精神でいこう
[0:25:37] daigo0612: 相手が上手い
[0:25:41] yossii46: まぁ自分のメンタルやられるくらいならってやつか
[0:25:43] soki3120: 敵うまかったなぁぐらいの方が楽しくできるよね
[0:25:51] d0kur0_: そのための相手あげ
[0:25:52] いたクセル: のせさんにアイボでチェンバー出すなって言われてるらしいけど。
[0:25:59] yagi_ais: ここは
[0:26:04] lapyyyyy: 相手の運が良かったねnt~
[0:26:04] yagi_ais: ああああああああああああ
[0:26:05] えありい: つんえｗ
[0:26:06] 丸もちお雑煮: 最後エぐ
[0:26:08] kaito_1k: wwwwww
[0:26:09] 初動激戦区降り御免早漏: うわあああああ
[0:26:09] ニドネ: わあ
[0:26:10] m4rfy_: ｳﾜｧ～
[0:26:13] たもー: ｗｗｗｗ
[0:26:14] まろにーー: 断末魔ださいｗｗｗ
[0:26:15] yagi_ais: GG
[0:26:17] 初動激戦区降り御免早漏: ntだったか
[0:26:21] えありい: ntnt
[0:26:22] nagityosu_: 敵が激ローの1v1でガバガバエイムして負けたら流石にマイバット精神発動する
[0:26:22] greentea211: でもいいチェン見せてもらった
[0:26:22] _のり: 三下の断末魔だった
[0:26:27] rkt2323: チェンバーって感じ
[0:26:29] ぴくしあ: でも前半はかなりえぐめだった
[0:26:46] lime051101: ezっていってた相手のレイズ全然だめじゃんw
[0:26:49] yagi_ais: 腹減ったいただきました
[0:26:52] bonjin_ss: 悟空いるやん
[0:26:54] _のり: リザルトで体力回復中
[0:26:55] yuki03160601: チェンバーだけ面白い試合。他はおもん無いw
[0:27:04] 初動激戦区降り御免早漏: オーメン ajak0nNaki ajak0nNaki
[0:27:05] faiba2525: 忘れてるよ
[0:27:07] yossii46: かみーと鳥頭な時あるからな…
[0:27:08] esaki12: え？それは忘れてるんじゃない？
[0:27:13] d0kur0_: 忘れてたらおもろすぎるw
[0:27:16] ZUNDAokawari: どんな状況ｗ
[0:27:16] yagi_ais: MVPリザルトは栄養価高い
[0:27:24] greentea211: 守りとかも？
[0:27:26] lambgoatyagi: かみーと大会では平均200だったけど、最近はスコア300出てるのすげーな。
[0:27:26] ぴくしあ: チェンバーとレイナはどっちかにして欲しい
[0:27:27] _のり: 忘れててミラーも楽しい
[0:27:31] ミコト_525: Lazさんも使ってるし…
[0:27:45] faiba2525: 今一番ピックされたら嫌なのは？
[0:27:46] SANJi_3_00: 守りは彼エイムでなんとかできそうだった
[0:27:50] yerserker: ５デュエで勝てるのがランクだからやりたいキャラ使えばいいと思うよ
[0:27:53] よおおおお: あじゃってかみーとの一人目の彼女？
[0:28:03] yagi_ais: ｗｗｗｗｗｗｗｗｗｗｗｗｗ
[0:28:03] yossii46: ww
[0:28:03] nananananana217: はい
[0:28:03] michioggwp: やば
[0:28:04] horryyyy: え？
[0:28:04] dorade40: www
[0:28:05] kufpa: そらそww
[0:28:05] soki3120: w
[0:28:05] kaito_1k: wwwwww
[0:28:06] faiba2525: あれ
[0:28:06] RAKUTE123: wwwwwwww
[0:28:06] マボマボマーボー: e?
[0:28:06] ニドネ: www
[0:28:07] lemonhaoishi: あ
[0:28:07] きんぐごりらまん: ｗｗ
[0:28:07] キョロポン: www
[0:28:08] SANJi_3_00: あ
[0:28:08] 555763: www
